"tourney_date","match_num","surface","player1_name","player2_name","match_outcome","player1_hand","player2_hand","rank_diff","elo_diff","ht_diff","age_diff","set1_diff","set2_diff","set3_diff","set1_outcome","set2_outcome","set3_outcome"
20060828,99,"Hard","Tomas Berdych","Dmitry Tursunov","LWL","R","R",-11,69.6569698294711,11,-2.8,-1,3,-3,"0","1","0"
20060828,100,"Hard","James Blake","Carlos Moya",NA,"R","R",-41,74.2016506766588,-5,-3.4,2,1,-4,"1","1","0"
20060828,101,"Hard","Olivier Rochus","Marat Safin",NA,"R","R",-74,-18.532818227096,-25,-0.899999999999999,-3,-4,-3,"0","0","0"
20060828,102,"Hard","Tommy Haas","Robby Ginepri",NA,"R","R",-5,174.434347968654,5,4.6,1,2,-3,"1","1","0"
20060828,103,"Hard","Fernando Gonzalez","Andy Murray","LWW","R","R",-8,99.3636312183,-7,6.8,-3,3,4,"0","1","1"
20060828,104,"Hard","Nikolay Davydenko","Lukasz Kubot","WW","R","R",-132,265.660477428622,-12,1,2,5,5,"1","1","1"
20060828,105,"Hard","Andre Agassi","Benjamin Becker","LWL","R","R",-73,262.111776527855,2,11.2,-2,1,-2,"0","1","0"
20060828,106,"Hard","Andy Roddick","Fernando Verdasco","LWW","R","L",-16,213.589233520828,0,1.2,-1,3,2,"0","1","1"
20060828,107,"Hard","Lleyton Hewitt","Novak Djokovic","WW","R","R",-6,145.845813180323,-8,6.3,3,5,4,"1","1","1"
20060828,108,"Hard","Richard Gasquet","Marco Chiudinelli",NA,"R","R",-277,213.077044781958,0,-4.8,1,3,-4,"1","1","0"
20060828,109,"Hard","Tommy Robredo","Stan Wawrinka","WW","R","R",-41,80.1339884134156,-3,2.9,3,2,4,"1","1","1"
20060828,110,"Hard","David Ferrer","Mikhail Youzhny","WLL","R","R",-41,64.0670502520275,-8,0.299999999999997,2,-2,-2,"1","0","0"
20060828,111,"Hard","Xavier Malisse","Jiri Novak","WLL","R","R",-146,102.237494281959,-5,-5.3,1,-3,-2,"1","0","0"
20060828,112,"Hard","Rafael Nadal","Wesley Moodie","WW","L","R",-80,463.251152862426,-11,-7.3,2,1,1,"1","1","1"
20060828,113,"Hard","Roger Federer","Marc Gicquel","WW","R","R",-78,540.300653717544,-3,-4.4,3,1,3,"1","1","1"
20060828,114,"Hard","James Blake","Tomas Berdych","WW","R","R",-7,80.180481226949,-11,5.7,2,3,5,"1","1","1"
20060828,115,"Hard","Tommy Haas","Marat Safin","LWL","R","R",-88,63.6080608578548,-5,1.9,-2,3,-4,"0","1","0"
20060828,116,"Hard","Nikolay Davydenko","Andy Murray","WLW","R","R",-13,33.2700337471522,-12,6,5,-2,3,"1","0","1"
20060828,117,"Hard","Andy Roddick","Benjamin Becker","WW","R","R",-102,295.553956584316,10,-1.2,3,2,3,"1","1","1"
20060828,118,"Hard","Lleyton Hewitt","Richard Gasquet",NA,"R","R",-12,134.288740089716,-5,5.4,2,2,-2,"1","1","0"
20060828,119,"Hard","Tommy Robredo","Mikhail Youzhny",NA,"R","R",-49,95.9422514590851,-3,0.199999999999999,-4,-6,-5,"0","0","0"
20060828,120,"Hard","Rafael Nadal","Jiri Novak","WW","L","R",-177,408.850619273129,-5,-11.2,5,1,2,"1","1","1"
20060828,121,"Hard","Roger Federer","James Blake",NA,"R","R",-6,328.323121010129,0,-1.6,1,6,-1,"1","1","0"
20060828,122,"Hard","Nikolay Davydenko","Tommy Haas","LL","R","R",-10,-21.3677393836199,-10,-3.2,-2,-1,3,"0","0","1"
20060828,123,"Hard","Andy Roddick","Lleyton Hewitt","WW","R","R",-7,1.74594740449515,8,-1.6,3,2,2,"1","1","1"
20060828,124,"Hard","Rafael Nadal","Mikhail Youzhny","LWL","L","R",-52,330.642825276175,2,-3.9,-3,2,-1,"0","1","0"
20060828,125,"Hard","Roger Federer","Nikolay Davydenko","WW","R","R",-5,364.525538198849,7,-0.199999999999999,5,2,2,"1","1","1"
20060828,126,"Hard","Andy Roddick","Mikhail Youzhny","LWW","R","R",-44,190.643779080084,5,-0.200000000000003,-1,6,1,"0","1","1"
20060828,127,"Hard","Roger Federer","Andy Roddick","WLW","R","R",-9,270.892844980814,-3,1.1,4,-2,2,"1","0","1"
20061023,1,"Carpet","Nikolay Davydenko","Fabrice Santoro","WW","R","R",-37,191.365910362585,0,-8.5,3,5,0,"1","1","0"
20061023,2,"Carpet","Teymuraz Gabashvili","Wesley Moodie","WLL","R","R",-10,-35.9820036834901,-8,-6.2,4,-2,-3,"1","0","0"
